(0-2)	Sim: 0.5000000000000001
(0-5)	Sim: 0.2886751345948129
(0-14)	Sim: 0.2886751345948129
(0-15)	Sim: 0.12909944487358055
(0-34)	Sim: 0.14433756729740646
(0-48)	Sim: 0.2886751345948129
(0-49)	Sim: 0.40824829046386296
(0-59)	Sim: 0.07453559924999299
(0-77)	Sim: 0.33333333333333337
(0-86)	Sim: 0.2581988897471611
(0-90)	Sim: 0.11785113019775793
(0-94)	Sim: 0.07453559924999299
(0-103)	Sim: 0.0949157995752499
(0-107)	Sim: 0.02046363772675145
(0-109)	Sim: 0.033113308926626096
(0-125)	Sim: 0.09919353522139876
(0-146)	Sim: 0.10206207261596574
(0-147)	Sim: 0.3202563076101743
(0-148)	Sim: 0.3503245248726854
(0-163)	Sim: 0.3535533905932738
(0-183)	Sim: 0.06804138174397717
(0-186)	Sim: 0.5773502691896258
(0-196)	Sim: 0.10350983390135314
(0-198)	Sim: 0.06804138174397717
(0-213)	Sim: 0.04508348173337162
(0-221)	Sim: 0.06584269219592206
(0-222)	Sim: 0.04950737714883372
(0-231)	Sim: 0.27086816944298076
(0-236)	Sim: 0.16666666666666669
(0-237)	Sim: 0.11785113019775793
(0-249)	Sim: 0.04729837698404022
(0-256)	Sim: 0.18257418583505536
(0-267)	Sim: 0.08574929257125442
(0-276)	Sim: 0.11785113019775793
(0-278)	Sim: 0.08703882797784893
(0-293)	Sim: 0.0545544725589981
(0-300)	Sim: 0.17407765595569785
(0-310)	Sim: 0.1091089451179962
(0-324)	Sim: 0.14106912317171966
(0-330)	Sim: 0.12909944487358055
(0-333)	Sim: 0.16666666666666669
(0-340)	Sim: 0.27386127875258304
(0-344)	Sim: 0.06019292654288461
(0-354)	Sim: 0.09933992677987828
(0-369)	Sim: 0.0700140042014005
(0-371)	Sim: 0.06019292654288461
(0-374)	Sim: 0.08006407690254358
(0-387)	Sim: 0.20412414523193148
(0-403)	Sim: 0.22592402852876597
(0-404)	Sim: 0.06454972243679027
(0-413)	Sim: 0.08333333333333334
(0-414)	Sim: 0.10206207261596574
(0-417)	Sim: 0.12909944487358055
(0-422)	Sim: 0.09622504486493763
(0-434)	Sim: 0.2581988897471611
(1-89)	Sim: 0.7071067811865475
(1-90)	Sim: 0.4082482904638631
(1-93)	Sim: 0.7071067811865475
(1-125)	Sim: 0.0981761387347632
(1-147)	Sim: 0.2773500981126146
(1-148)	Sim: 0.26967994498529685
(1-262)	Sim: 0.7071067811865475
(1-273)	Sim: 0.4472135954999579
(1-300)	Sim: 0.30151134457776363
(1-323)	Sim: 0.3333333333333333
(1-344)	Sim: 0.20851441405707477
(1-361)	Sim: 0.19245008972987526
(1-400)	Sim: 0.105999788000636
(2-148)	Sim: 0.23354968324845693
(2-231)	Sim: 0.12038585308576923
(2-300)	Sim: 0.3481553119113957
(2-403)	Sim: 0.12909944487358055
(3-79)	Sim: 0.7071067811865475
(3-147)	Sim: 0.5547001962252291
(3-148)	Sim: 0.13483997249264842
(3-231)	Sim: 0.10425720702853739
(3-300)	Sim: 0.6030226891555273
(3-344)	Sim: 0.20851441405707477
(3-403)	Sim: 0.11180339887498948
(4-195)	Sim: 0.31622776601683794
(4-213)	Sim: 0.31234752377721214
(4-326)	Sim: 0.5773502691896258
(4-403)	Sim: 0.11180339887498948
(5-34)	Sim: 0.5
(5-59)	Sim: 0.2581988897471611
(5-103)	Sim: 0.1643989873053573
(5-107)	Sim: 0.07088812050083358
(5-109)	Sim: 0.11470786693528087
(5-146)	Sim: 0.35355339059327373
(5-147)	Sim: 0.2773500981126146
(5-183)	Sim: 0.23570226039551587
(5-267)	Sim: 0.09901475429766744
(5-278)	Sim: 0.30151134457776363
(5-330)	Sim: 0.22360679774997896
(5-344)	Sim: 0.20851441405707477
(5-371)	Sim: 0.20851441405707477
(5-413)	Sim: 0.14433756729740646
(6-86)	Sim: 0.31622776601683794
(6-108)	Sim: 0.40824829046386296
(6-121)	Sim: 0.16666666666666666
(6-125)	Sim: 0.03471050672503116
(6-213)	Sim: 0.11043152607484653
(6-221)	Sim: 0.10752066611409407
(6-222)	Sim: 0.12126781251816648
(6-267)	Sim: 0.14002800840280097
(6-294)	Sim: 0.2886751345948129
(6-357)	Sim: 0.1543033499620919
(6-397)	Sim: 0.14744195615489714
(6-402)	Sim: 0.40824829046386296
(6-403)	Sim: 0.15811388300841897
(6-427)	Sim: 0.2357022603955158
(6-445)	Sim: 0.31622776601683794
(7-30)	Sim: 0.25
(7-125)	Sim: 0.0490880693673816
(7-163)	Sim: 0.4082482904638631
(7-201)	Sim: 0.7071067811865475
(7-213)	Sim: 0.15617376188860607
(7-267)	Sim: 0.09901475429766744
(7-308)	Sim: 0.21320071635561041
(7-309)	Sim: 0.2886751345948129
(7-357)	Sim: 0.2182178902359924
(7-369)	Sim: 0.24253562503633297
(7-397)	Sim: 0.20851441405707477
(7-403)	Sim: 0.11180339887498948
(8-11)	Sim: 0.07715167498104596
(8-39)	Sim: 0.14433756729740646
(8-78)	Sim: 0.20412414523193154
(8-109)	Sim: 0.0468292905790847
(8-119)	Sim: 0.11785113019775793
(8-121)	Sim: 0.04811252243246882
(8-125)	Sim: 0.11022066220772785
